,dist_arc1,dist_arc2,dist_arc3,dist_arc4,nearest_archetype
TCGA-A7-A4SC-01,439.5804396939378,704.7072975304657,429.7822051516148,418.68184256942806,4
TCGA-D8-A140-01,441.6291790318111,707.6895303346466,431.07108469628076,423.1339923952294,4
TCGA-A8-A07O-01,433.71786230511515,702.8968465996705,438.63387703516236,415.7811325410017,4
TCGA-BH-A208-01,433.70375518086047,701.4245349502647,439.97820074032063,413.0692837606998,4
TCGA-B6-A0IA-01,423.651119765223,681.9015418455787,401.1158647712914,396.852385853489,4
TCGA-AR-A0TZ-01,446.2759285352339,712.919564078936,434.3313759379849,429.9711733902647,4
TCGA-E2-A10A-01,440.91477913959375,707.2063592161876,431.56600666829115,422.2288984920677,4
TCGA-A7-A6VW-01,436.8866807693663,699.2733500958172,435.9863911571183,408.59488378494933,4
TCGA-C8-A26Y-01,451.52434684325846,711.3522813641131,438.6382455162057,421.6537774660986,4
TCGA-AO-A0J5-01,439.21109143752284,708.0627599333604,434.3634798060863,423.8086354320925,4
TCGA-B6-A2IU-01,441.4633046082833,702.7797311053109,422.1137095969288,418.3430087923507,4
TCGA-C8-A26Z-01,444.1303286264981,708.2666044797706,428.603514780097,424.5432780415501,4
TCGA-D8-A27N-01,441.4190111233988,707.3773112207482,435.3777570822682,420.3999011787789,4
TCGA-D8-A27K-01,446.66397760657634,711.9266122581649,437.8654722828472,425.30018563998783,4
TCGA-E2-A14X-01,445.5974003037367,711.326487247212,444.59630503324996,422.5004659504372,4
TCGA-A2-A1G1-01,441.9435963498855,709.8815098840643,454.2996058263218,421.2790331404246,4
