,arc1,arc2,arc3,arc4,arc5,arc6,arc7
SYPL1,7.100446432532921,7.67225280533152,8.269097544171773,7.401054231242685,7.47835207717076,6.592586850804621,7.27082556349901
CYB561,3.0143165214178094,4.4368780863271695,5.291210803696597,5.609151477944576,6.999569886875538,3.8956398255435536,3.865876106566764
SPAG9,6.338222190509331,5.252865076074188,6.707671455261854,6.534716962010986,6.567664198409691,5.420960534307981,5.869658006383474
CELSR3,3.042735007576826,1.9539322872923663,1.6788561329380758,3.3387405431370336,4.1282815920507785,2.673109938072572,1.9149996507840368
AASS,3.144138724091775,3.1032101887054657,5.29993626685991,3.8365408168313397,4.042601368423812,2.5350061777520114,3.3737435787402763
PLEKHG6,0.48268273495324243,0.11224382052777399,0.6881931687142155,0.5196145567858524,0.27754085943264095,1.2095635265461178,0.3894150616669074
SS18L2,4.6664501932049705,5.278792861227855,4.862511490544598,4.5908450372603165,5.1162813495346215,4.59832349250588,3.7949681053059807
MPND,2.865377967891993,3.0200160472488093,3.16363581315872,2.994901754744842,3.1205431448502807,2.8745685655303923,3.21327779331162
MGST1,7.846816094238389,8.40328006719489,7.274953353351888,6.866141131227095,7.322626146484224,7.454232470949876,4.306750651714536
CRY1,4.240661040018754,3.8011660815030974,4.530582900893955,4.58186844163926,3.9926902103324258,3.520408730720416,3.1590162650481
NFIX,3.606787476299669,5.895274693648399,6.151195043570058,5.789037509934589,6.268341088991029,2.292819519940893,6.326779185673728
ST3GAL1,3.321590994323753,3.4627755153090023,3.1996670981522555,2.9498341186626647,4.28427794422368,2.4467390299049097,4.779057783531439
MMP25,0.7262922790545113,0.3258749297978924,0.5326509955358617,0.9504884427957128,1.0832778615375867,0.4545138276737445,0.7099367089225052
IL32,2.1127828561959014,4.631047653896753,2.2132348141752938,6.384461089518213,3.669549189260738,5.041360440691551,3.8575738814485203
PKD1,5.092969314316008,4.647351561390016,5.771512667699177,6.037112565397272,6.439411667332118,4.17557219787862,5.972281874388436
MAPK8IP2,0.15410768158968602,1.0628800851059532,1.562927731473392,1.3332801078963192,1.1821345959577036,0.7623993025797082,0.5262819049073018
MED24,5.657429760514384,5.158031484206513,6.418250975319026,5.830830546442296,6.191789051979094,5.415090880016,5.630096737977381
RHOBTB2,2.988137511222823,2.6559797551012174,2.9099774318905607,3.2512920308599513,3.351182546365885,2.132477892777868,2.9100189794236084
HEATR5B,3.4232323032260785,2.368617519135313,3.933061801466036,3.5309754982932264,3.6491527944305835,2.877271096687414,3.2962473457778474
SEC62,6.8239484777176225,6.84885829149066,6.799599927453037,6.953971918282612,6.976391090369886,6.117008747104082,6.367081851874089
RPS20,10.870012924722548,11.687770155525701,9.856889001981674,10.575952537065694,10.674995283365558,10.926607654102831,10.318064025824178
CSDE1,8.857967086863773,8.308040104727516,8.262092226257648,9.136568442171011,8.734201405678704,8.608785315919794,8.198112898554774
UBE3C,5.676311867339404,5.588598927605388,6.419042308598738,5.690045502839322,5.887743989786694,4.713431078540954,6.274910317914155
REV3L,3.218531327724021,3.308247242180875,3.3360101633386523,3.726976490047074,3.7806182656993848,2.718076756897897,2.4718187357710786
PAX7,-0.022352347584472562,0.10218967174894478,0.24449054260975,0.21723010841695434,-0.04344410118466498,-0.0013635882105478003,0.41401595447768996
MASP2,0.8260276317736522,0.20870575434131222,0.8485250518255607,0.9920809105229154,0.8525314670062499,0.4728661987640158,0.768244511467921
FAM76A,2.43189882499252,2.6788187674147554,2.216909722098257,2.9001200480365394,2.978073090143859,2.3347013376647814,1.8054749810586064
TRAF3IP3,0.5965779563309854,0.2372224436617778,0.5762243912993186,0.6365095743756944,0.5844765182111391,0.4695058505709969,0.7596790933083329
POMT2,4.452182102988673,3.4152585317871202,4.202261227292201,4.714306710392001,4.790685472942695,4.102116487353724,3.9237871187192965
VTA1,5.737813204018882,5.793653703019431,5.7487513485751816,6.1693505982357495,5.617090232733622,5.711945509702536,4.831158716482735
MLXIPL,0.07966499115020653,0.7195513032648753,0.56241914788126,0.6165463824094226,0.6668967722596736,0.19208488968193835,-0.530784544298537
BAZ1B,5.738926163511278,5.205969859426734,6.709669518648108,5.606065668605053,6.188287343358346,4.397166071467049,5.43521804297295
RANBP9,5.036798433459898,5.27985311032974,5.976093046790467,5.764371253819089,5.298373711669763,5.074401832315424,4.90599320432861
ETV7,-0.13046645900519527,0.2263683849744853,1.0921493587899544,1.9052920912604043,0.7816160145505566,0.8193084873619649,-0.09163274249790965
METTL13,5.0343797290836685,4.321676763856651,5.40707286280828,5.002577937436879,4.892391743006153,4.77252029752883,4.442305252861679
DYRK4,5.120460934981368,5.673611639834201,4.7650912486805606,4.553711317162146,4.816979077146428,4.568372270667145,5.032540822443481
ZNF207,7.7957099068455085,7.002042571517917,7.913492852247105,7.781816427963362,7.768409186886502,7.49269527654889,7.5275570874388675
UQCRC1,7.921549507618144,7.478730417248845,7.941328368074905,7.727968155240704,7.800235255946076,7.870673031845956,7.587173080314217
